Row,Country Name,TFR_range
1,Albania,TFR ~1.38 - 1.7
2,Armenia,TFR ~1.42 - 1.7
3,Austria,TFR ~1.38 - 1.53
4,Azerbaijan,TFR ~1.52 - 2
5,Belarus,TFR ~1.38 - 1.73
6,Belgium,TFR ~1.53 - 1.86
7,Bosnia and Herzegovina,TFR ~1.22 - 1.38
8,Bulgaria,TFR ~1.48 - 1.78
9,Croatia,TFR ~1.41 - 1.62
10,Cyprus,TFR ~1.3 - 1.48
11,Czechia,TFR ~1.43 - 1.83
12,Denmark,TFR ~1.55 - 1.89
13,Estonia,TFR ~1.41 - 1.72
14,Finland,TFR ~1.32 - 1.87
15,France,TFR ~1.79 - 2.03
16,Georgia,TFR ~1.67 - 2.2
17,Germany,TFR ~1.36 - 1.6
18,Greece,TFR ~1.29 - 1.5
19,Hungary,TFR ~1.23 - 1.61
20,Iceland,TFR ~1.59 - 2.23
21,Ireland,TFR ~1.63 - 2.06
22,Italy,TFR ~1.24 - 1.46
23,Kazakhstan,TFR ~2.47 - 3.32
24,Kosovo,TFR ~1.51 - 2.44
25,Kyrgyz Republic,TFR ~2.7 - 3.3
26,Latvia,TFR ~1.33 - 1.74
27,Lithuania,TFR ~1.27 - 1.7
28,Luxembourg,TFR ~1.31 - 1.63
29,Malta,TFR ~1.13 - 1.45
30,Moldova,TFR ~1.57 - 1.89
31,Montenegro,TFR ~1.65 - 1.98
32,Netherlands,TFR ~1.49 - 1.79
33,North Macedonia,TFR ~1.31 - 1.6
34,Norway,TFR ~1.41 - 1.98
35,Poland,TFR ~1.26 - 1.48
36,Portugal,TFR ~1.21 - 1.43
37,Romania,TFR ~1.45 - 1.81
38,Russian Federation,TFR ~1.42 - 1.78
39,Serbia,TFR ~1.38 - 1.63
40,Slovak Republic,TFR ~1.27 - 1.63
41,Slovenia,TFR ~1.38 - 1.64
42,Spain,TFR ~1.16 - 1.45
43,Sweden,TFR ~1.52 - 1.98
44,Switzerland,TFR ~1.39 - 1.54
45,Tajikistan,TFR ~3.14 - 3.46
46,Turkiye,TFR ~1.88 - 2.2
47,Turkmenistan,TFR ~2.62 - 2.96
48,Ukraine,TFR ~1.16 - 1.53
49,United Kingdom,TFR ~1.56 - 1.92
50,Uzbekistan,TFR ~2.19 - 3.31
