"Country Name","Variable","NA_Count","Total_Entries","NA_Proportion"
"Serbia","Female_Male_Labor_Ratio",44,63,69.8412698412698
"Georgia","Female_Male_Labor_Ratio",40,63,63.4920634920635
"Moldova","Female_Male_Labor_Ratio",39,63,61.9047619047619
"Moldova","Unemployment_Rate",39,63,61.9047619047619
"Croatia","Female_Male_Labor_Ratio",38,63,60.3174603174603
"Georgia","Unemployment_Rate",38,63,60.3174603174603
"Latvia","Unemployment_Rate",38,63,60.3174603174603
"Ukraine","Female_Male_Labor_Ratio",38,63,60.3174603174603
"Latvia","Female_Male_Labor_Ratio",37,63,58.7301587301587
"Bulgaria","Female_Male_Labor_Ratio",36,63,57.1428571428571
"Serbia","GDP_Per_Capita_Growth",36,63,57.1428571428571
"Ukraine","Unemployment_Rate",36,63,57.1428571428571
"Croatia","Unemployment_Rate",35,63,55.5555555555556
"North Macedonia","Female_Male_Labor_Ratio",35,63,55.5555555555556
"Serbia","Unemployment_Rate",35,63,55.5555555555556
"Azerbaijan","Female_Male_Labor_Ratio",34,63,53.968253968254
"Slovak Republic","Unemployment_Rate",33,63,52.3809523809524
"Albania","Female_Male_Labor_Ratio",32,63,50.7936507936508
"Slovak Republic","Female_Male_Labor_Ratio",32,63,50.7936507936508
"Slovenia","Female_Male_Labor_Ratio",32,63,50.7936507936508
"Slovenia","Unemployment_Rate",32,63,50.7936507936508
"Ukraine","Female_Labor_Force",32,63,50.7936507936508
"Albania","Female_Labor_Force",31,63,49.2063492063492
"Azerbaijan","Female_Labor_Force",31,63,49.2063492063492
"Azerbaijan","GDP_Per_Capita_Growth",31,63,49.2063492063492
"Azerbaijan","Unemployment_Rate",31,63,49.2063492063492
"Belgium","Female_Labor_Force",31,63,49.2063492063492
"Bulgaria","Female_Labor_Force",31,63,49.2063492063492
"Croatia","Female_Labor_Force",31,63,49.2063492063492
"Croatia","GDP_Per_Capita_Growth",31,63,49.2063492063492
"Cyprus","Female_Labor_Force",31,63,49.2063492063492
"Denmark","Female_Labor_Force",31,63,49.2063492063492
"France","Female_Labor_Force",31,63,49.2063492063492
"Georgia","Female_Labor_Force",31,63,49.2063492063492
"Italy","Female_Labor_Force",31,63,49.2063492063492
"Latvia","Female_Labor_Force",31,63,49.2063492063492
"Latvia","GDP_Per_Capita_Growth",31,63,49.2063492063492
"Malta","Female_Labor_Force",31,63,49.2063492063492
"Moldova","Female_Labor_Force",31,63,49.2063492063492
